Student_ID,Previous_Day_Meals,Calories_Consumed,Protein (g),Carbs (g),Fats (g)
382,"Pasta Salad, Cheese Pizza, Chicken Wrap, Garden Salad",2396,49,108,83
383,"Garden Salad, Rice Bowl, Fish Tacos, Pasta Salad",1526,106,247,82
384,"Fish Tacos, Rice Bowl, Pasta Salad",1473,84,215,58
385,"Chicken Wrap, Rice Bowl",1353,59,215,52
386,"Garden Salad, Pasta Salad, Cheese Pizza",2624,61,197,85
387,"Chicken Wrap, Cheese Pizza",2146,60,198,41
388,"Cheese Pizza, Veggie Burger, Rice Bowl",1526,65,139,34
389,"Veggie Burger, Fish Tacos",2332,47,140,77
390,"Fish Tacos, Grilled Chicken, Veggie Burger, Cheese Pizza",2035,54,264,30
391,"Chicken Wrap, Rice Bowl, Veggie Burger, Cheese Pizza",1735,43,166,63
392,"Cheese Pizza, Rice Bowl",2062,92,161,70
393,"Rice Bowl, Grilled Chicken",1590,77,184,49
394,"Garden Salad, Veggie Burger, Cheese Pizza, Fish Tacos",2734,75,268,34
395,"Rice Bowl, Pasta Salad",1405,96,225,77
396,"Grilled Chicken, Chicken Wrap, Veggie Burger, Cheese Pizza",1952,55,158,84
397,"Pasta Salad, Veggie Burger, Fish Tacos, Rice Bowl",2176,50,109,51
398,"Cheese Pizza, Rice Bowl",2325,104,290,54
399,"Rice Bowl, Fish Tacos, Grilled Chicken, Chicken Wrap",2646,109,100,76
400,"Grilled Chicken, Pasta Salad, Chicken Wrap, Rice Bowl",1880,112,240,35
401,"Cheese Pizza, Garden Salad, Rice Bowl",2299,86,208,84
402,"Garden Salad, Chicken Wrap",2050,82,215,64
403,"Pasta Salad, Fish Tacos, Grilled Chicken",1927,98,256,48
404,"Cheese Pizza, Fish Tacos, Pasta Salad",1482,119,233,69
405,"Cheese Pizza, Veggie Burger",2681,59,194,33
406,"Pasta Salad, Chicken Wrap, Garden Salad, Fish Tacos",1574,106,213,45
407,"Rice Bowl, Garden Salad, Veggie Burger, Fish Tacos",2235,92,174,34
408,"Grilled Chicken, Cheese Pizza, Chicken Wrap, Fish Tacos",2045,108,217,85
409,"Pasta Salad, Fish Tacos, Garden Salad, Grilled Chicken",2673,86,266,33
410,"Chicken Wrap, Veggie Burger",1959,59,128,53
411,"Fish Tacos, Grilled Chicken, Chicken Wrap",1401,56,165,35
412,"Garden Salad, Grilled Chicken, Cheese Pizza",2691,80,276,56
413,"Fish Tacos, Veggie Burger",1407,41,223,53
414,"Garden Salad, Veggie Burger, Pasta Salad",1868,59,140,83
415,"Garden Salad, Veggie Burger, Chicken Wrap, Rice Bowl",2357,118,126,39
416,"Garden Salad, Cheese Pizza",1457,68,295,30
417,"Garden Salad, Rice Bowl, Pasta Salad, Grilled Chicken",2146,87,248,88
418,"Garden Salad, Grilled Chicken, Chicken Wrap",1500,107,106,78
419,"Fish Tacos, Garden Salad",1245,71,131,35
420,"Fish Tacos, Chicken Wrap, Pasta Salad",2730,64,255,76
421,"Chicken Wrap, Garden Salad, Cheese Pizza, Rice Bowl",2471,56,142,86
422,"Garden Salad, Veggie Burger",1956,62,210,61
423,"Pasta Salad, Grilled Chicken, Fish Tacos, Cheese Pizza",2143,73,139,40
424,"Pasta Salad, Fish Tacos",1537,87,237,47
425,"Rice Bowl, Cheese Pizza, Veggie Burger",1586,113,201,30
426,"Fish Tacos, Veggie Burger, Pasta Salad, Cheese Pizza",2296,45,206,54
427,"Rice Bowl, Grilled Chicken, Fish Tacos, Cheese Pizza",1767,98,184,31
428,"Veggie Burger, Rice Bowl",1619,76,178,57
429,"Pasta Salad, Fish Tacos, Veggie Burger",1971,46,160,72
430,"Fish Tacos, Cheese Pizza, Rice Bowl",2133,40,201,67
431,"Grilled Chicken, Pasta Salad",1654,106,208,76
432,"Rice Bowl, Cheese Pizza, Chicken Wrap, Garden Salad",1945,62,252,50
433,"Rice Bowl, Chicken Wrap",1743,94,195,34
434,"Fish Tacos, Pasta Salad, Garden Salad",2436,100,236,35
435,"Garden Salad, Pasta Salad, Chicken Wrap, Cheese Pizza",1286,115,294,59
436,"Cheese Pizza, Pasta Salad",1852,71,145,81
437,"Pasta Salad, Cheese Pizza, Rice Bowl, Grilled Chicken",1684,45,207,47
438,"Fish Tacos, Pasta Salad, Grilled Chicken",2137,117,221,39
439,"Rice Bowl, Garden Salad, Fish Tacos, Veggie Burger",2234,117,266,84
440,"Cheese Pizza, Veggie Burger, Chicken Wrap, Fish Tacos",1336,86,132,62
441,"Pasta Salad, Chicken Wrap, Rice Bowl, Fish Tacos",2722,52,228,63
442,"Cheese Pizza, Grilled Chicken",1494,65,116,36
443,"Pasta Salad, Rice Bowl",2326,92,292,78
444,"Cheese Pizza, Pasta Salad, Fish Tacos",1740,71,125,89
445,"Grilled Chicken, Cheese Pizza",1535,80,207,80
446,"Chicken Wrap, Cheese Pizza, Pasta Salad",1628,54,230,40
447,"Garden Salad, Pasta Salad",1733,45,284,69
448,"Garden Salad, Grilled Chicken, Cheese Pizza, Fish Tacos",1532,84,178,49
449,"Veggie Burger, Garden Salad",1405,103,139,88
450,"Veggie Burger, Cheese Pizza, Chicken Wrap, Fish Tacos",2702,69,229,78
451,"Rice Bowl, Fish Tacos",2632,75,235,38
452,"Rice Bowl, Grilled Chicken, Veggie Burger",1684,103,143,58
453,"Grilled Chicken, Fish Tacos, Rice Bowl, Cheese Pizza",1600,55,230,50
454,"Veggie Burger, Grilled Chicken, Chicken Wrap",2043,81,288,42
455,"Chicken Wrap, Pasta Salad, Cheese Pizza, Garden Salad",1933,115,237,73
456,"Chicken Wrap, Pasta Salad, Grilled Chicken, Fish Tacos",1990,57,161,61
457,"Fish Tacos, Cheese Pizza",2445,100,228,59
458,"Garden Salad, Grilled Chicken",2067,46,121,39
459,"Grilled Chicken, Chicken Wrap, Veggie Burger, Cheese Pizza",1403,72,127,37
460,"Cheese Pizza, Pasta Salad",2740,99,219,75
461,"Cheese Pizza, Garden Salad, Fish Tacos",1654,116,245,31
462,"Cheese Pizza, Chicken Wrap, Garden Salad, Pasta Salad",1998,100,294,74
463,"Pasta Salad, Cheese Pizza, Chicken Wrap, Veggie Burger",1658,98,248,80
464,"Veggie Burger, Garden Salad, Cheese Pizza",2638,117,251,79
465,"Veggie Burger, Fish Tacos",1908,49,182,54
466,"Chicken Wrap, Veggie Burger",2138,64,119,77
467,"Fish Tacos, Pasta Salad, Veggie Burger, Chicken Wrap",2538,44,150,50
468,"Grilled Chicken, Garden Salad, Fish Tacos",2237,114,131,40
469,"Fish Tacos, Veggie Burger",1476,83,232,52
470,"Fish Tacos, Chicken Wrap",2032,103,170,33
471,"Fish Tacos, Chicken Wrap",1629,53,277,49
472,"Garden Salad, Pasta Salad, Cheese Pizza",2445,77,230,57
473,"Grilled Chicken, Chicken Wrap, Pasta Salad",2661,65,174,37
474,"Grilled Chicken, Garden Salad, Veggie Burger, Chicken Wrap",1539,94,243,75
475,"Cheese Pizza, Veggie Burger, Pasta Salad",2438,112,262,80
476,"Rice Bowl, Grilled Chicken",1579,92,218,41
477,"Pasta Salad, Chicken Wrap",2321,89,170,73
478,"Veggie Burger, Garden Salad, Rice Bowl",1763,54,183,32
479,"Fish Tacos, Chicken Wrap",1767,99,237,68
480,"Rice Bowl, Grilled Chicken",2739,103,265,53
481,"Fish Tacos, Veggie Burger, Pasta Salad, Grilled Chicken",2525,101,296,67
482,"Garden Salad, Veggie Burger, Cheese Pizza",2368,104,156,84
483,"Grilled Chicken, Pasta Salad, Garden Salad",2171,79,244,44
484,"Grilled Chicken, Cheese Pizza, Rice Bowl",1859,116,290,41
485,"Rice Bowl, Fish Tacos, Cheese Pizza",2662,78,295,88
486,"Cheese Pizza, Grilled Chicken",2613,116,287,55
487,"Cheese Pizza, Fish Tacos, Veggie Burger",2410,102,265,85
488,"Chicken Wrap, Fish Tacos",1919,61,195,67
489,"Garden Salad, Pasta Salad, Fish Tacos, Cheese Pizza",1898,115,276,88
490,"Cheese Pizza, Rice Bowl, Grilled Chicken, Veggie Burger",1486,61,231,42
491,"Rice Bowl, Grilled Chicken",2131,40,242,42
492,"Pasta Salad, Rice Bowl",1527,47,158,55
493,"Cheese Pizza, Chicken Wrap, Rice Bowl, Pasta Salad",2495,41,244,59
494,"Rice Bowl, Pasta Salad, Grilled Chicken, Veggie Burger",1805,60,211,84
495,"Fish Tacos, Garden Salad",1678,92,227,81
496,"Rice Bowl, Fish Tacos, Grilled Chicken",2267,114,197,45
497,"Grilled Chicken, Rice Bowl",2152,47,171,56
498,"Chicken Wrap, Garden Salad, Rice Bowl",1814,82,194,46
499,"Pasta Salad, Garden Salad",1589,89,201,66
500,"Cheese Pizza, Pasta Salad",1338,88,248,80
